ID,strResource,strDescription,website,SeeAlsoLink,MetaTitle,MetaDescription,Stage_list,Task_list,category_list
89,3D Printers,"Makerbot 3D printers are currently available in McKeldin Library's Terrapin Learning Commons and the Engineering & Physical Sciences Library (math building). The printer in McKeldin can print an item with multiple colors, while the printer in the Engineering & Physical Science Library prints each item in one color. Faculty, students, and staff are welcome to submit their print request to either library. You will receive email updates about the status of your prints, including when the item is ready for pick up. The printers use PLA filament, which is a nontoxic resin made from plants, such as corn and sugarcane.",http://lib.guides.umd.edu/3DPrinting,,Create a physical object from a digital model,"3D,digital model,print",4::Perform your research,408::Print 3D objects and prototypes,Campus Research Facilities
36,AdobeConnect,"Adobe Connect is the university’s Web conferencing and collaboration platform. It enables faculty and staff to collaborate with internal and external colleagues over the Internet and provides Web-based meeting space for showing documents, desktops, or applications in action. Any UMD faculty or staff member can organize a Web meeting using the UMD-hosted service.",http://it.umd.edu/conferencing/web_meetings.html,,Organize an online meeting or web conference,"web meeting,web conference,collaborate,share desktop",3::Manage your project; 4::Perform your research,308::Collaborate with remote colleagues; 406::Collaborate with remote colleagues,Technology Services
21,Author Rights,"Before you sign a publishing agreement with a journal or press, consult the experts in the University of Maryland Libraries about your right to reproduce and redistribute your work. We can help you understand your rights and options. We can also provide advice about open-access publishing.",http://lib.guides.umd.edu/content.php?pid=201235,,Understand your rights before you sign a publishing agreement,"reproducing your work,retaining copyright,publisher policies,open access,depositing in a repository,intellectual property,IP,document,publish,results",5::Close out your project; 6::Communicate and disseminate results,503::Archive and disseminate data; 505::Protect intellectual property; 602::Protect intellectual property,Research Administration Guidance
23,Bibliometrics and Altmetrics,"This guide walks you through bibliometrics and altmetrics to help you define and measure the impact of your scholarly work on the research community and general public. This includes impact factors, journal rankings, citation counts, and how these numbers and more can be used to tell your impact story to APT committees and funders.",http://lib.guides.umd.edu/bibliometrics,,Measure the impact of your work on the research community and general public,"bibliometrics,altmetrics,impact factors,journal rankings,journal citation,impact of scholarly work",3::Manage your project; 6::Communicate and disseminate results,608::Measure research impact,Research Impact
57,Budget Guidance,"The budget serves to identify the cost of the project to the sponsor. The budget also serves as a further measure of the Principal Investigator's capabilities since there must be a reasonable correlation between the project as described and the Principal Investigator's assessment of the various cost elements. This page includes templates for developing your budget and budget justification, as well as resources to help you estimate direct and indirect costs.",http://www.ora.umd.edu/resources/budget-guidance,,Find guidance for developing and implementing your budget,"Budget,participant support,human subject,budget template,justification,cost principles,direct cost,salary,fringe,equipment,supplies,travel,publication,subaward,vendor,consultant,subcontract,facilities and administrative,indirect cost,cost sharing",2::Fund your research; 3::Manage your project,206::Build your budget; 302::Manage your budget,Research Administration Guidance
85,Citation Management Tools,"Citation managers (e.g. EndNote Web, Zotero, etc.) help researchers keep track of their references for dissertations, journal articles, or any other writing needs. The software also facilitates the downloading of citations and content directly from online databases. The tools help researchers create citations and bibliographies, then easily format them in a wide variety of styles.",http://lib.guides.umd.edu/citationtools,,Organize your sources and create citations in the style you need,"references,research,citations,journal,article,bibliography,MLA,APA,Chicago",1::Develop your research idea; 5::Close out your project; 6::Communicate and disseminate results,101::Develop and evaluate a research idea; 503::Archive and disseminate data; 601::Develop manuscript for publication,Research Administration Guidance
52,CITI Courses for Responsible Conduct of Research (RCR) and Conflict of Interest (COI),"The CITI program offers courses to UM researchers on Responsible conduct of research (RCR) and Conflict of Interest (COI).  RCR training is required for all undergraduate students, graduate students, postdoctoral researchers, and staff participating in and supported by funds from the National Science Foundation (NSF) or from the National Institute of Food and Agriculture (NIFA).  Required training on COI can also be completed through the CITI program.",https://www.citiprogram.org/,,Get online training on research practices or conflict of interest to ensure that you are in compliance with sponsor requirements,"RCR,COI,NSF,NIFA,training,compliance,responsible conduct of research,conflict of interest",1::Develop your research idea; 2::Fund your research; 3::Manage your project; 4::Perform your research,106::Get training on research compliance; 205::Document research policies and practices; 310::Comply with research policies and practices; 409::Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training"
3,CompetitionSpace,"Browse and apply for open internal and external funding opportunities, including Limited Submissions, Seed Grant Programs, and Tier I and Tier II Faculty Incentive Programs.  These funding opportunities are open to UMD faculty and staff.",https://umd.infoready4.com/,,Find and apply for UMD funding opportunities,"Limited Submission,seed grant program,tier I faculty incentive program,tier II faculty incentive program,fund,grant,seed,tier,limited",2::Fund your research,201::Find Funding Opportunities,Funding Opportunities
44,Conflict of Interest (COI),"A conflict of interest occurs when a member of the University community is in a position to gain personal benefit or financial advantage from their University position, either through outside professional activities or through their actions or decisions at the University.",http://www.umresearch.umd.edu/RCO/New/ConflictofInterest.html,,Prevent or manage potential conflicts of interest (COI),"COI,conflict of interest,compliance",1::Develop your research idea; 2::Fund your research; 3::Manage your project; 4::Perform your research,105::Comply with research policies and practices; 205::Document research policies and practices; 310::Comply with research policies and practices; 409::Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training"
39,Core Facilities,"Core facilities are shared services and laboratories available to researchers at the University of Maryland.  Some of these facilities are institutional research cores and are available on a fee-for-service basis to UM investigators. Other core facilities are supported by individual departments, specific grants or groups of investigators, and may also be available on a fee-for-service or collaborative basis.",http://research.umd.edu/core-facilities,,Conduct your research in one of our state-of-the-art facilities,"core facility,research center,biotech,biomedical,distance learning,engineering,materials processing,environment,fire protection,food safety,nanotechnology,physical sciences,robotics,space science,transportation",1::Develop your research idea; 2::Fund your research; 4::Perform your research,"103::Find a laboratory, instrument, or facility; 203::Find a laboratory, instrument, or facility; 401::Find a laboratory or instrument",Campus Research Facilities
13,Data Access and Security Planning,Planning for how you will share data with reviewers and other researchers is an important part of your data management plan.  Learn more about important considerations for data sharing and public access.,http://www.lib.umd.edu/data/dmp#access,,"Plan for sharing your data with reviewers, other researchers, and the public","data,data management,data access,data sharing,public access,repository,data center,archive",1::Develop your research idea; 2::Fund your research,104::Plan for data collection and management; 204::Plan for data management and IT infrastructure,Technology Services
71,Data Backup Service,"Data loss can occur at any time as a result of unstable hardware or software, viruses, power surges, or accidents.  Protect your research with DIT's data backup service.  DIT will configure your backup access according to the data retention and storage management policies you select.  Such policies have been engineered with UMD-specific requirements and Disaster Recovery best practices in mind, so you can fully be sure that your backup data is protected, secured and restorable at all times.",http://backups.umd.edu/,,"Ensure that your data is protected, secured, and restorable at all times","data loss,protect,data backup,backup,data retention,storage,secure,restore",2::Fund your research; 3::Manage your project; 4::Perform your research; 5::Close out your project,204::Plan for data management and IT infrastructure; 304::Acquire equipment and software; 403::Manage your data; 503::Archive and disseminate data,Technology Services
