"id","composer","title","imprint","additional_info","collation","collection","difficulty","duration","ensemble","fair_use","instrumentation","location","pages","solo_difficulty","special"
"201","Abbate, Luigi","Swallows","ms copy 1991 ","","score ","ICA","","","","","cl, bsst hrn (one player) ","5279","","","Solos"
"202","Aberdam, Eliane ","Toile D'Araignee ","E. Aberdam c1993 ","1994 ICA Composition Contest entry. ","score, 3 parts","ICA","","","","","cl, vcl, pno ","2369","","","ICA Composition ContestTrios"
"203","Abrahamsen, Hans ","Winternacht (arranged for 7 instruments) ","Copenhagen: Wilhelm Hansen c1981 ","Dur: 12:30 ","score (34 pp.) ","ICA","","","","","fl, cl, tpt, hrn, pno, vln, vcl ","1718","","","SeptetsChamber"
"204","Absenger, Max ","Vortragsstück for Clarinet in A and Piano ","Leipzig: Breitkopf & Härtel c1905 ","","score (7 pp.), part ","ICA","","","","Y","cl-A, pno ","0001","","","Duets"
"205","Absil, Jean ","Fantasie-Humoresque ","Paris: Alphonse Leduc c1963 ","","score (11 pp.), part ","ICA","","","","","cl, pno ","2427","","","Duets"
"206","Absil, Jean ","Quatuor, Op. 132 ","Paris: Lemoine, c1968 ","","score (20 pp.), 4 parts ","ICA","","","","","cl-sop, cl(2), cl-bs ","2925","","","Clarinet ChoirQuartets"
"207","Absil, Jean ","Quintet pour Instruments à Vent, Op. 16 ","Brussels: CeBeDeM c1969 ","Dur: 11:00 ","score (28 pp.- miniature), 5 parts ","ICA","","","","","fl, ob, cl, hrn, bsn ","0003","","","Quintets"
"208","Achron, Joseph ","Kindersuite, Op. 57 für 2 Violinen, Viola, Violoncello, Klarinette und Klavier ","Wien: Universal c1928 ","","score (51 pp.), 5 parts ","ICA","","","","","cl, vln(2), vla, vcl, pno ","0004","","","Sextets"
"209","Acker, Dieter ","Attitudes, Sextet for 2 Clarinets, 2 Horns, 2 Bassoons (1968/71) ","Köln: Hans Geri c1976 ","","score (16 pp.) ","ICA","","","","","cl(2), hrn(2), bsn(2) ","0005","","","Sextets"
"210","Adaïewsky, Ella ","Griechische Sonate (Sonata Greca) ","Köln: Tischer & Jagenberg c1913 ","second copy from Jerry Pierce Collection. ","score (28 pp.), part ","ICA","","","","Y","cl, pno ","0006","","","Solos"
"211","Adamski, Lee ","Feelin' Fine ","Delaware Water Gap, PA: Shawnee c1977 ","","score (4 pp.), 2 parts ","ICA","","","","","cl, pno ","0007","","",""
"212","Adamski, Lee ","A Stick of Licorice ","Delaware Water Gap, PA: Shawnee c1977 ","First or second year player, dur: 1:50. ","score (4 pp.), part ","ICA","","","","","cl, pno ","0008","","",""
"213","Adler, Samuel ","Music for Eleven ","NY: Oxford University Press c1968 ","","score, 11 parts ","ICA","","","","","fl(2), ob, cl, cl-bs, bsn, perc ","2237","","","Wind Ensemble"
"214","Adler, Samuel ","Harobed: 7 Studies for Clarinet Alone ","San Antonio, TX: Southern c1972 ","","score (7 pp.) ","ICA","","","","","cl ","0009","","","Studies/Method"
"215","Aegler, Gottfried ","24 Ländlerperlen, Ausgabe Nr. 1 ","Schweiz: Musikverlag Gottfried Aegler ","","score (24 pp.) ","ICA","","","","","cl or sax or accord ","4613","","",""
"216","Aegler, Gottfried and Fritz Studer ","24 Ländlerperlen, Ausgabe Nr. 2 ","Schweiz: Musikverlag Gottfried Aegler c1971 ","","score (24 pp.) ","ICA","","","","","cl or sax or accord ","4614","","",""
"217","Aegler, Gottfried and Fritz Studer ","15 Ländlerperlen, Ausgabe Nr. 3 ","Schweiz: Musikverlag Gottfried Aegler ","","score (15 pp.) ","ICA","","","","","cl or sax or accord ","4615","","",""
"218","Agnes, Szendi ","Frost Work ","S. Agnes 1996 ","1996 ICA Composition Contest entry, cassette available. ","score (32 pp.), 2 parts ","ICA","","","","","cl(2), pno ","5823","","","ICA Composition ContestRecording Available"
"219","Agostini, Lucio ","Trio Quebecois ","Willowdale, ONT: Boosey & Hawkes c1970 ","","3 parts ","ICA","","","","","cl(3) ","3995","","","Clarinet ChoirTrios"
"220","Aitken, Hugh ","Suite ","Philadelphia: Elkan-Vogel c1965 ","","score (4 pp.) ","ICA","","","","","cl ","3932","","","Solos"
"221","Aitken, Hugh ","Quartet ","ms copy 1959 ","Dur: 20:00 ","4 parts ","ICA","","","","","cl, vln, vla, vcl ","4227","","","Quartets"
"222","Ajdic, Aljoz ","Solo de Concours for Clarinet and Piano (1973) ","Ljubljana, Yugoslavia: Drustva slovenskih skladateljev c1975 ","","score (47 pp.), part ","ICA","","","","","cl, pno ","0010","","",""
"223","Aladov, Nicolai I. ","Sonata, Op. 67, No. 3 ","Moscow: State Publishing House c1971 ","","score (47 pp.), part ","ICA","","","","","cl, pno ","0011","","",""
"224","Albéniz, Isaac Manuel Francisco ","Two Pieces from España ","London: Oxford University Press c1979 ","Arr. for 2 cl by Alan Frank ","score (15 pp.), part ","ICA","","","","","cl(2), pno ","0012","","",""
"225","Albinoni, Tommaso ","Concert in d moll, Op. 9, No. 2 ","Wormerveer, Holland: Molenaar c1966 ","Arr: Ber Joosen ","score (18 pp.), part ","ICA","","","","","cl, pno ","3136","","",""
"226","Albisi, Abelardo ","Miniature Suite No. 2 ","Boston: Cundy-Bettoney c1939 ","","3 parts ","ICA","","","","","fl, cl(2) ","3980","","",""
